fecha,0,1,2,3,4,5,6,7,8
1961-01-01,0.0,6.451612903225806,22.58064516129032,25.806451612903224,9.67741935483871,16.129032258064516,16.129032258064516,3.225806451612903,0.0
1961-02-01,3.571428571428571,0.0,17.857142857142858,10.714285714285714,21.428571428571427,7.142857142857142,17.857142857142858,17.857142857142858,3.571428571428571
1961-03-01,3.4482758620689653,13.793103448275861,17.24137931034483,3.4482758620689653,13.793103448275861,13.793103448275861,10.344827586206897,6.896551724137931,17.24137931034483
1961-04-01,13.333333333333334,23.333333333333332,3.3333333333333335,3.3333333333333335,13.333333333333334,6.666666666666667,13.333333333333334,6.666666666666667,16.666666666666664
1961-05-01,35.483870967741936,9.67741935483871,19.35483870967742,3.225806451612903,6.451612903225806,6.451612903225806,0.0,9.67741935483871,9.67741935483871
1961-06-01,10.344827586206897,13.793103448275861,10.344827586206897,10.344827586206897,6.896551724137931,3.4482758620689653,3.4482758620689653,13.793103448275861,27.586206896551722
1961-07-01,26.666666666666668,10.0,10.0,3.3333333333333335,6.666666666666667,10.0,10.0,6.666666666666667,16.666666666666664
1961-08-01,25.925925925925924,14.814814814814813,14.814814814814813,7.4074074074074066,7.4074074074074066,3.7037037037037033,7.4074074074074066,11.11111111111111,7.4074074074074066
1961-09-01,6.666666666666667,3.3333333333333335,3.3333333333333335,6.666666666666667,10.0,16.666666666666664,13.333333333333334,10.0,30.0
1961-10-01,12.903225806451612,16.129032258064516,12.903225806451612,6.451612903225806,9.67741935483871,16.129032258064516,0.0,12.903225806451612,12.903225806451612
1961-11-01,16.666666666666664,6.666666666666667,6.666666666666667,16.666666666666664,13.333333333333334,10.0,13.333333333333334,3.3333333333333335,13.333333333333334
1961-12-01,7.4074074074074066,22.22222222222222,11.11111111111111,7.4074074074074066,14.814814814814813,14.814814814814813,14.814814814814813,3.7037037037037033,3.7037037037037033
1962-01-01,6.666666666666667,23.333333333333332,16.666666666666664,6.666666666666667,10.0,16.666666666666664,6.666666666666667,6.666666666666667,6.666666666666667
1962-02-01,14.285714285714285,17.857142857142858,17.857142857142858,3.571428571428571,7.142857142857142,17.857142857142858,10.714285714285714,3.571428571428571,7.142857142857142
1962-03-01,3.3333333333333335,26.666666666666668,3.3333333333333335,13.333333333333334,13.333333333333334,13.333333333333334,3.3333333333333335,20.0,3.3333333333333335
1962-04-01,4.166666666666666,12.5,25.0,16.666666666666664,12.5,4.166666666666666,4.166666666666666,8.333333333333332,12.5
1962-05-01,10.0,26.666666666666668,6.666666666666667,13.333333333333334,10.0,6.666666666666667,6.666666666666667,3.3333333333333335,16.666666666666664
1962-06-01,26.666666666666668,23.333333333333332,10.0,6.666666666666667,3.3333333333333335,10.0,3.3333333333333335,3.3333333333333335,13.333333333333334
1962-07-01,16.129032258064516,3.225806451612903,3.225806451612903,3.225806451612903,6.451612903225806,29.03225806451613,6.451612903225806,6.451612903225806,25.806451612903224
1962-08-01,16.666666666666664,20.0,3.3333333333333335,10.0,10.0,6.666666666666667,3.3333333333333335,10.0,20.0
1962-09-01,20.0,13.333333333333334,6.666666666666667,0.0,10.0,13.333333333333334,13.333333333333334,10.0,13.333333333333334
1962-10-01,35.483870967741936,9.67741935483871,9.67741935483871,12.903225806451612,3.225806451612903,3.225806451612903,6.451612903225806,6.451612903225806,12.903225806451612
1962-11-01,20.0,26.666666666666668,6.666666666666667,13.333333333333334,3.3333333333333335,10.0,10.0,6.666666666666667,3.3333333333333335
1962-12-01,3.225806451612903,35.483870967741936,12.903225806451612,9.67741935483871,12.903225806451612,19.35483870967742,3.225806451612903,3.225806451612903,0.0
1963-01-01,0.0,19.35483870967742,6.451612903225806,9.67741935483871,9.67741935483871,16.129032258064516,9.67741935483871,12.903225806451612,16.129032258064516
1963-02-01,0.0,7.142857142857142,17.857142857142858,17.857142857142858,14.285714285714285,17.857142857142858,14.285714285714285,0.0,10.714285714285714
1963-03-01,3.225806451612903,6.451612903225806,29.03225806451613,22.58064516129032,3.225806451612903,12.903225806451612,6.451612903225806,6.451612903225806,9.67741935483871
1963-04-01,30.0,10.0,16.666666666666664,20.0,3.3333333333333335,0.0,13.333333333333334,0.0,6.666666666666667
1963-05-01,12.903225806451612,16.129032258064516,16.129032258064516,6.451612903225806,19.35483870967742,9.67741935483871,3.225806451612903,3.225806451612903,12.903225806451612
1963-06-01,23.333333333333332,16.666666666666664,0.0,23.333333333333332,6.666666666666667,6.666666666666667,3.3333333333333335,13.333333333333334,6.666666666666667
1963-07-01,22.58064516129032,16.129032258064516,3.225806451612903,6.451612903225806,12.903225806451612,16.129032258064516,9.67741935483871,0.0,12.903225806451612
1963-08-01,12.903225806451612,6.451612903225806,3.225806451612903,9.67741935483871,6.451612903225806,29.03225806451613,12.903225806451612,6.451612903225806,12.903225806451612
1963-09-01,3.3333333333333335,0.0,3.3333333333333335,6.666666666666667,3.3333333333333335,16.666666666666664,3.3333333333333335,16.666666666666664,46.666666666666664
1963-10-01,9.67741935483871,6.451612903225806,12.903225806451612,6.451612903225806,6.451612903225806,22.58064516129032,9.67741935483871,6.451612903225806,19.35483870967742
1963-11-01,16.666666666666664,13.333333333333334,13.333333333333334,3.3333333333333335,10.0,16.666666666666664,3.3333333333333335,3.3333333333333335,20.0
1963-12-01,16.666666666666664,16.666666666666664,13.333333333333334,3.3333333333333335,13.333333333333334,20.0,0.0,6.666666666666667,10.0
1964-01-01,0.0,38.70967741935484,25.806451612903224,6.451612903225806,12.903225806451612,12.903225806451612,0.0,0.0,3.225806451612903
